,,ТИП,ПРОДУКТ,ПРОГРАММА,"Стоимость продукта
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"3,86%",,8,2,,"Сумма оплаты клиента/100*0,0386",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"2,76%",,8,3,,"Сумма оплаты клиента/100*0,0276",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"1,93%",,8,4,,"Сумма оплаты клиента/100*0,0193",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"0,83%",,8,5,,"Сумма оплаты клиента/100*0,0083",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"31,00%",,9,1,,"Сумма оплаты клиента/100*0,31",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"4,34%",,9,2,,"Сумма оплаты клиента/100*0,0434",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"3,10%",,9,3,,"Сумма оплаты клиента/100*0,031",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"2,17%",,9,4,,"Сумма оплаты клиента/100*0,0217",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"0,93%",,9,5,,"Сумма оплаты клиента/100*0,0093",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"34,44%",,10,1,,"Сумма оплаты клиента/100*0,3444",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"4,83%",,10,2,,"Сумма оплаты клиента/100*0,0483",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"3,45%",,10,3,,"Сумма оплаты клиента/100*0,0345",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"2,41%",,10,4,,"Сумма оплаты клиента/100*0,0241",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"1,04%",,10,5,,"Сумма оплаты клиента/100*0,0104",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"37,89%",,11,1,,"Сумма оплаты клиента/100*0,3789",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"5,30%",,11,2,,"Сумма оплаты клиента/100*0,053",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"3,79%",,11,3,,"Сумма оплаты клиента/100*0,0379",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"2,65%",,11,4,,"Сумма оплаты клиента/100*0,0265",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"1,14%",,11,5,,"Сумма оплаты клиента/100*0,0114",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"41,33%",,12,1,,"Сумма оплаты клиента/100*0,4133",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"5,79%",,12,2,,"Сумма оплаты клиента/100*0,0579",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"4,13%",,12,3,,"Сумма оплаты клиента/100*0,0413",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"2,90%",,12,4,,"Сумма оплаты клиента/100*0,029",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"1,24%",,12,5,,"Сумма оплаты клиента/100*0,0124",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"44,77%",,13,1,,"Сумма оплаты клиента/100*0,4477",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"6,27%",,13,2,,"Сумма оплаты клиента/100*0,0627",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"4,47%",,13,3,,"Сумма оплаты клиента/100*0,0447",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"3,14%",,13,4,,"Сумма оплаты клиента/100*0,0314",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"1,34%",,13,5,,"Сумма оплаты клиента/100*0,0134",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"48,21%",,14,1,,"Сумма оплаты клиента/100*0,4821",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"6,75%",,14,2,,"Сумма оплаты клиента/100*0,0675",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"4,83%",,14,3,,"Сумма оплаты клиента/100*0,0483",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"3,37%",,14,4,,"Сумма оплаты клиента/100*0,0337",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"1,44%",,14,5,,"Сумма оплаты клиента/100*0,0144",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"51,66%",,15,1,,"Сумма оплаты клиента/100*0,5166",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"7,23%",,15,2,,"Сумма оплаты клиента/100*0,0723",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"5,17%",,15,3,,"Сумма оплаты клиента/100*0,0517",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"3,62%",,15,4,,"Сумма оплаты клиента/100*0,0362",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"1,55%",,15,5,,"Сумма оплаты клиента/100*0,0155",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"55,10%",,16,1,,"Сумма оплаты клиента/100*0,551",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"7,71%",,16,2,,"Сумма оплаты клиента/100*0,0771",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"5,51%",,16,3,,"Сумма оплаты клиента/100*0,0551",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"3,86%",,16,4,,"Сумма оплаты клиента/100*0,0386",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"1,65%",,16,5,,"Сумма оплаты клиента/100*0,0165",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"58,55%",,17,1,,"Сумма оплаты клиента/100*0,5855",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"8,20%",,17,2,,"Сумма оплаты клиента/100*0,082",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"5,85%",,17,3,,"Сумма оплаты клиента/100*0,0585",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"4,09%",,17,4,,"Сумма оплаты клиента/100*0,0409",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"1,76%",,17,5,,"Сумма оплаты клиента/100*0,0176",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"61,99%",,18,1,,"Сумма оплаты клиента/100*0,6199",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"8,68%",,18,2,,"Сумма оплаты клиента/100*0,0868",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"6,20%",,18,3,,"Сумма оплаты клиента/100*0,062",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"4,34%",,18,4,,"Сумма оплаты клиента/100*0,0434",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"1,86%",,18,5,,"Сумма оплаты клиента/100*0,0186",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"65,44%",,19,1,,"Сумма оплаты клиента/100*0,6544",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"9,16%",,19,2,,"Сумма оплаты клиента/100*0,0916",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"6,55%",,19,3,,"Сумма оплаты клиента/100*0,0655",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"4,58%",,19,4,,"Сумма оплаты клиента/100*0,0458",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"1,97%",,19,5,,"Сумма оплаты клиента/100*0,0197",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"68,88%",,20,1,,"Сумма оплаты клиента/100*0,6888",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"9,64%",,20,2,,"Сумма оплаты клиента/100*0,0964",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"6,89%",,20,3,,"Сумма оплаты клиента/100*0,0689",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"4,83%",,20,4,,"Сумма оплаты клиента/100*0,0483",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+,,RUB,ГГА,"2,07%",,20,5,,"Сумма оплаты клиента/100*0,0207",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+ дополнительные опции,,RUB,ГГА,"17,22%",,,1,,"Сумма оплаты клиента/100*0,1722",рискова часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+ дополнительные опции,,RUB,ГГА,"2,41%",,,2,,"Сумма оплаты клиента/100*0,0241",рискова часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+ дополнительные опции,,RUB,ГГА,"1,72%",,,3,,"Сумма оплаты клиента/100*0,0172",рискова часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+ дополнительные опции,,RUB,ГГА,"1,21%",,,4,,"Сумма оплаты клиента/100*0,0121",рискова часть ,Страховые
,,Страховые продукты,Совкомбанк,Классика+ дополнительные опции,,RUB,ГГА,"0,51%",,,5,,"Сумма оплаты клиента/100*0,0051",рискова часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"3,45%",,1,1,,"Сумма оплаты клиента/100*0,0345",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"0,48%",,1,2,,"Сумма оплаты клиента/100*0,0048",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"0,34%",,1,3,,"Сумма оплаты клиента/100*0,0034",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"0,24%",,1,4,,"Сумма оплаты клиента/100*0,0024",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"0,10%",,1,5,,"Сумма оплаты клиента/100*0,001",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"6,89%",,2,1,,"Сумма оплаты клиента/100*0,0689",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"0,97%",,2,2,,"Сумма оплаты клиента/100*0,0097",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"0,69%",,2,3,,"Сумма оплаты клиента/100*0,0069",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"0,48%",,2,4,,"Сумма оплаты клиента/100*0,0048",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"0,21%",,2,5,,"Сумма оплаты клиента/100*0,0021",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"10,34%",,3,1,,"Сумма оплаты клиента/100*0,1034",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"1,44%",,3,2,,"Сумма оплаты клиента/100*0,0144",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"1,04%",,3,3,,"Сумма оплаты клиента/100*0,0104",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"7,24%",,3,4,,"Сумма оплаты клиента/100*0,0724",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"3,10%",,3,5,,"Сумма оплаты клиента/100*0,031",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"13,78%",,4,1,,"Сумма оплаты клиента/100*0,1378",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"1,93%",,4,2,,"Сумма оплаты клиента/100*0,0193",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"1,38%",,4,3,,"Сумма оплаты клиента/100*0,0138",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"0,97%",,4,4,,"Сумма оплаты клиента/100*0,0097",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"0,42%",,4,5,,"Сумма оплаты клиента/100*0,0042",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"17,22%",,5,1,,"Сумма оплаты клиента/100*0,1722",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"2,41%",,5,2,,"Сумма оплаты клиента/100*0,0241",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"1,72%",,5,3,,"Сумма оплаты клиента/100*0,0172",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"1,21%",,5,4,,"Сумма оплаты клиента/100*0,0121",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"5,17%",,5,5,,"Сумма оплаты клиента/100*0,0517",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"20,66%",,6,1,,"Сумма оплаты клиента/100*0,2066",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"2,90%",,6,2,,"Сумма оплаты клиента/100*0,029",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"2,07%",,6,3,,"Сумма оплаты клиента/100*0,0207",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"1,44%",,6,4,,"Сумма оплаты клиента/100*0,0144",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"0,62%",,6,5,,"Сумма оплаты клиента/100*0,0062",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"24,11%",,7,1,,"Сумма оплаты клиента/100*0,2411",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"3,37%",,7,2,,"Сумма оплаты клиента/100*0,0337",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"2,41%",,7,3,,"Сумма оплаты клиента/100*0,0241",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"1,69%",,7,4,,"Сумма оплаты клиента/100*0,0169",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"0,72%",,7,5,,"Сумма оплаты клиента/100*0,0072",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"27,55%",,8,1,,"Сумма оплаты клиента/100*0,2755",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"3,86%",,8,2,,"Сумма оплаты клиента/100*0,0386",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"2,76%",,8,3,,"Сумма оплаты клиента/100*0,0276",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"1,93%",,8,4,,"Сумма оплаты клиента/100*0,0193",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"0,83%",,8,5,,"Сумма оплаты клиента/100*0,0083",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"31,00%",,9,1,,"Сумма оплаты клиента/100*0,31",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"4,34%",,9,2,,"Сумма оплаты клиента/100*0,0434",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"3,10%",,9,3,,"Сумма оплаты клиента/100*0,031",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"2,17%",,9,4,,"Сумма оплаты клиента/100*0,0217",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"0,93%",,9,5,,"Сумма оплаты клиента/100*0,0093",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"34,44%",,10,1,,"Сумма оплаты клиента/100*0,3444",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"4,83%",,10,2,,"Сумма оплаты клиента/100*0,0483",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"3,45%",,10,3,,"Сумма оплаты клиента/100*0,0345",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"2,41%",,10,4,,"Сумма оплаты клиента/100*0,0241",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"1,04%",,10,5,,"Сумма оплаты клиента/100*0,0104",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"37,89%",,11,1,,"Сумма оплаты клиента/100*0,3789",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"5,30%",,11,2,,"Сумма оплаты клиента/100*0,053",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"3,79%",,11,3,,"Сумма оплаты клиента/100*0,0379",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"2,65%",,11,4,,"Сумма оплаты клиента/100*0,0265",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"1,14%",,11,5,,"Сумма оплаты клиента/100*0,0114",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"41,33%",,12,1,,"Сумма оплаты клиента/100*0,4133",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"5,79%",,12,2,,"Сумма оплаты клиента/100*0,0579",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"4,13%",,12,3,,"Сумма оплаты клиента/100*0,0413",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"2,90%",,12,4,,"Сумма оплаты клиента/100*0,029",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"1,24%",,12,5,,"Сумма оплаты клиента/100*0,0124",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"44,77%",,13,1,,"Сумма оплаты клиента/100*0,4477",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"6,27%",,13,2,,"Сумма оплаты клиента/100*0,0627",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"4,47%",,13,3,,"Сумма оплаты клиента/100*0,0447",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"3,14%",,13,4,,"Сумма оплаты клиента/100*0,0314",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"1,34%",,13,5,,"Сумма оплаты клиента/100*0,0134",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"48,21%",,14,1,,"Сумма оплаты клиента/100*0,4821",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"6,75%",,14,2,,"Сумма оплаты клиента/100*0,0675",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"4,83%",,14,3,,"Сумма оплаты клиента/100*0,0483",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"3,37%",,14,4,,"Сумма оплаты клиента/100*0,0337",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"1,44%",,14,5,,"Сумма оплаты клиента/100*0,0144",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"51,66%",,15,1,,"Сумма оплаты клиента/100*0,5166",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"7,23%",,15,2,,"Сумма оплаты клиента/100*0,0723",накопительная часть ,Страховые
,,Страховые продукты,Совкомбанк,Юниор+,,RUB,ГГА,"5,17%",,15,3,,"Сумма оплаты клиента/100*0,0517",накопительная часть ,Страховые
